Title,DOI,Link
Malware detection based on visualization of recombined API instruction sequence,10.1080/09540091.2022.2139353,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141738532&doi=10.1080%2F09540091.2022.2139353&partnerID=40&md5=0aca169d60bb66a665df4bb5435bead9
Detection Of Spam Messages In E-Messaging Platform Using Machine Learning,10.1109/CCiCT56684.2022.00060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141726898&doi=10.1109%2FCCiCT56684.2022.00060&partnerID=40&md5=a7e56b0c44f2e39bf8aae3c226433480
Explainable AI for Android Malware Detection: Towards Understanding Why the Models Perform So Well?,10.1109/ISSRE55969.2022.00026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141663112&doi=10.1109%2FISSRE55969.2022.00026&partnerID=40&md5=5f4deefb550d4eeac01ceafebc23e651
Machine Learning Algorithms and Frameworks in Ransomware Detection,10.1109/ACCESS.2022.3218779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141640363&doi=10.1109%2FACCESS.2022.3218779&partnerID=40&md5=3a807e55c43a7a219cd02a1a86b9ba9b
Contrastive Learning for Robust Android Malware Familial Classification,10.1109/TDSC.2022.3219082,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141630511&doi=10.1109%2FTDSC.2022.3219082&partnerID=40&md5=1202469de3032c1b05abe9533e848338
A Method for Automatic Android Malware Detection Based on Static Analysis and Deep Learning,10.1109/ACCESS.2022.3219047,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141617152&doi=10.1109%2FACCESS.2022.3219047&partnerID=40&md5=8dd6b2704f9f665644232d43c71759d3
Malware Signatures Detection with Neural Networks,10.23919/NTSP54843.2022.9920380,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141613926&doi=10.23919%2FNTSP54843.2022.9920380&partnerID=40&md5=95f555178c5016a762568d6560b1951a
Device-Centric Firmware Malware Detection for Smart Inverters using Deep Transfer Learning,10.1109/DMC55175.2022.9906538,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141562843&doi=10.1109%2FDMC55175.2022.9906538&partnerID=40&md5=a4695dcb651d830dc5b13bbe67ff5724
"Proceedings of the International Conference on New Trends in Signal Processing, NTSP 2022",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141556028&partnerID=40&md5=e4b15ef661b2ea2b08672ff73d17773e
Malware analysis and multi-label category detection issues: Ensemble-based approaches,10.1109/IDSTA55301.2022.9923057,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141535538&doi=10.1109%2FIDSTA55301.2022.9923057&partnerID=40&md5=c25f7386b94c77c95cb7dfe9b43900cc
"Proceedings of the 2022 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems, ICSES 2022",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141520393&partnerID=40&md5=27f16796e3092ecbf50df9c5e3795b7b
A novel approach to detect malware in portable executables of major operating systems,10.1109/ICSES55317.2022.9914382,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141510222&doi=10.1109%2FICSES55317.2022.9914382&partnerID=40&md5=d1293bf0e17c33ad6ab14dee02e3bcd7
FewM-HGCL&#x00A0;:&#x00A0;Few-Shot Malware Variants Detection Via Heterogeneous Graph Contrastive Learning,10.1109/TDSC.2022.3216902,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141471550&doi=10.1109%2FTDSC.2022.3216902&partnerID=40&md5=95136a6566dac22888e6d47a07671111
"Explainable Intrusion Detection Systems (X-IDS): A Survey of Current Methods, Challenges, and Opportunities",10.1109/ACCESS.2022.3216617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141467128&doi=10.1109%2FACCESS.2022.3216617&partnerID=40&md5=3de5a280b45e1c958efcd480eef72ecb
Multimodal Feature Selection for Android Malware Detection Classifiers,10.1109/ICSES55317.2022.9914324,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141463458&doi=10.1109%2FICSES55317.2022.9914324&partnerID=40&md5=c9bc87a016290fd5ead59a97a132fa11
An Approach for P2P Based Botnet Detection Using Machine Learning,10.1109/ICICICT54557.2022.9917847,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141425979&doi=10.1109%2FICICICT54557.2022.9917847&partnerID=40&md5=c27e6e930a484ff558c5e8adcc816794
Research on Malware Detection System Using Artificial Intelligence,10.1109/BCD54882.2022.9900792,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141423152&doi=10.1109%2FBCD54882.2022.9900792&partnerID=40&md5=2f0d91b359a9305a2e98fe156b5205c6
Comparing the performance of supervised machine learning algorithms when used with a manual feature selection process to detect Zeus malware,10.1504/ijguc.2022.126167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141421848&doi=10.1504%2Fijguc.2022.126167&partnerID=40&md5=855a0b140af3c2b3c619c813b2747d06
MANAGE: A Novel Malware Evolution Model based on Digital Genes,10.1109/DSC55868.2022.00016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141419127&doi=10.1109%2FDSC55868.2022.00016&partnerID=40&md5=9c12a6cd74eb38941c59ddc9ef1a6c53
LISP-TBCNN: An AutoCAD Malware Detection Approach,10.1109/DSC55868.2022.00055,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141403822&doi=10.1109%2FDSC55868.2022.00055&partnerID=40&md5=d05dc5da2aade32c3dae758e4e7ffd8e
Light-weight Unsupervised Anomaly Detection for Encrypted Malware Traffic,10.1109/DSC55868.2022.00034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141403105&doi=10.1109%2FDSC55868.2022.00034&partnerID=40&md5=c66ada210b37d70b21c1ad9efbc0238a
A Detection Algorithm of Malicious Code Variants based on Extreme Learning,10.1109/AEECA55500.2022.9919022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141400951&doi=10.1109%2FAEECA55500.2022.9919022&partnerID=40&md5=48565fd2b76a728544e56ec9ec521280
Effective Hardware-Trojan Feature Extraction Against Adversarial Attacks at Gate-Level Netlists,10.1109/IOLTS56730.2022.9897557,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141392088&doi=10.1109%2FIOLTS56730.2022.9897557&partnerID=40&md5=32694c3ca90f7a88d10af4086d1f69c0
A Novel Unsupervised Malware Detection Method based on Adversarial Auto-encoder and Deep Clustering,10.1109/DSA56465.2022.00038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141357281&doi=10.1109%2FDSA56465.2022.00038&partnerID=40&md5=4d0ce916a47895495eb8f50c2e38b946
Analysis of Data Transforming Technology for Malware Detection,10.1109/BCD54882.2022.9900726,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141354484&doi=10.1109%2FBCD54882.2022.9900726&partnerID=40&md5=8e095be3878515a49b79b584c3090e94
Online Learning based Self-updating Incremental Malware Detection Model,10.1109/DSA56465.2022.00145,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141352193&doi=10.1109%2FDSA56465.2022.00145&partnerID=40&md5=429959977d3b1fff29f4e51ceebf76a4
A Novel Framework For Malicious Encrypted Traffic Classification At Host Level And Flow Level,10.1109/DSC55868.2022.00076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141351838&doi=10.1109%2FDSC55868.2022.00076&partnerID=40&md5=1c19e222cc1eba618f623d76c1f88864
